,Unnamed: 0,cntxt_num,count,mean,pt,r_num,index,context_num,context_type,context_shock,cntxt_trialnum,Mean,STD
139,6.0,6.0,3.0,0.0763,64.0,3.0,37.0,6.0,THREAT,None,1.0,0.06948888888888889,0.07004836051227407
140,7.0,7.0,3.0,0.0753,64.0,3.0,43.0,7.0,THREAT,prior,1.0,0.06948888888888889,0.07004836051227407
141,,,,,,,,,,,,0.06948888888888889,0.07004836051227407
142,9.0,9.0,3.0,0.0056,64.0,3.0,55.0,7.0,THREAT,post,1.0,0.06948888888888889,0.07004836051227407
143,10.0,10.0,3.0,0.0524,64.0,3.0,61.0,8.0,THREAT,None,1.0,0.06948888888888889,0.07004836051227407
144,11.0,11.0,3.0,0.03,64.0,3.0,67.0,9.0,THREAT,None,1.0,0.05131111111111111,0.07747533868641791
145,12.0,12.0,3.0,0.0702,64.0,3.0,73.0,10.0,SAFE,None,1.0,0.05131111111111111,0.07747533868641791
146,13.0,13.0,3.0,0.147,64.0,3.0,79.0,11.0,THREAT,None,1.0,0.05131111111111111,0.07747533868641791
147,14.0,14.0,3.0,0.0081,64.0,3.0,85.0,12.0,SAFE,None,1.0,0.05131111111111111,0.07747533868641791
148,15.0,15.0,3.0,0.0524,64.0,3.0,91.0,13.0,THREAT,None,1.0,0.05131111111111111,0.07747533868641791
149,16.0,16.0,3.0,0.0,64.0,3.0,97.0,14.0,SAFE,None,1.0,0.05131111111111111,0.07747533868641791
150,17.0,17.0,3.0,0.2569,64.0,3.0,103.0,15.0,THREAT,None,1.0,0.05131111111111111,0.07747533868641791
151,18.0,18.0,3.0,0.1211,64.0,3.0,109.0,16.0,SAFE,None,1.0,0.05131111111111111,0.07747533868641791
152,0.0,0.0,3.0,0.0285,64.0,4.0,1.0,0.0,THREAT,None,1.0,0.05131111111111111,0.07747533868641791
153,1.0,1.0,3.0,0.0092,64.0,4.0,7.0,1.0,THREAT,None,1.0,0.05131111111111111,0.07747533868641791
154,2.0,2.0,3.0,0.0,64.0,4.0,13.0,2.0,SAFE,None,1.0,0.05131111111111111,0.07747533868641791
155,3.0,3.0,3.0,0.0,64.0,4.0,19.0,3.0,SAFE,None,1.0,0.05131111111111111,0.07747533868641791
156,4.0,4.0,3.0,0.1007,64.0,4.0,25.0,4.0,SAFE,None,1.0,0.05131111111111111,0.07747533868641791
157,5.0,5.0,3.0,0.0,64.0,4.0,31.0,5.0,THREAT,None,1.0,0.05131111111111111,0.07747533868641791
158,6.0,6.0,3.0,0.0,64.0,4.0,37.0,6.0,THREAT,None,1.0,0.05131111111111111,0.07747533868641791
159,7.0,7.0,3.0,0.0234,64.0,4.0,43.0,7.0,THREAT,prior,1.0,0.05131111111111111,0.07747533868641791
160,,,,,,,,,,,,0.05131111111111111,0.07747533868641791
161,9.0,9.0,3.0,0.0214,64.0,4.0,55.0,7.0,THREAT,post,1.0,0.05131111111111111,0.07747533868641791
162,10.0,10.0,3.0,0.0,64.0,4.0,61.0,8.0,SAFE,None,1.0,0.04196111111111111,0.06817953927068882
163,11.0,11.0,3.0,0.0,64.0,4.0,67.0,9.0,SAFE,None,1.0,0.04196111111111111,0.06817953927068882
164,12.0,12.0,3.0,0.0351,64.0,4.0,73.0,10.0,SAFE,None,1.0,0.04196111111111111,0.06817953927068882
165,13.0,13.0,3.0,0.2029,64.0,4.0,79.0,11.0,THREAT,None,1.0,0.04196111111111111,0.06817953927068882
166,14.0,14.0,3.0,0.0615,64.0,4.0,85.0,12.0,THREAT,None,1.0,0.04196111111111111,0.06817953927068882
167,15.0,15.0,3.0,0.08800000000000001,64.0,4.0,91.0,13.0,SAFE,None,1.0,0.04196111111111111,0.06817953927068882
168,16.0,16.0,3.0,0.0381,64.0,4.0,97.0,14.0,THREAT,None,1.0,0.04196111111111111,0.06817953927068882
169,17.0,17.0,3.0,0.03,64.0,4.0,103.0,15.0,SAFE,None,1.0,0.04196111111111111,0.06817953927068882
170,18.0,18.0,3.0,0.2848,64.0,4.0,109.0,16.0,THREAT,None,1.0,0.04196111111111111,0.06817953927068882
171,0.0,0.0,3.0,0.061,64.0,5.0,1.0,0.0,THREAT,None,1.0,0.04196111111111111,0.06817953927068882
172,1.0,1.0,3.0,0.0066,64.0,5.0,7.0,1.0,THREAT,None,1.0,0.04196111111111111,0.06817953927068882
173,2.0,2.0,3.0,0.115,64.0,5.0,13.0,2.0,SAFE,None,1.0,0.04196111111111111,0.06817953927068882
174,3.0,3.0,3.0,0.0254,64.0,5.0,19.0,3.0,SAFE,None,1.0,0.04196111111111111,0.06817953927068882
175,4.0,4.0,3.0,0.1165,64.0,5.0,25.0,4.0,SAFE,prior,1.0,0.04196111111111111,0.06817953927068882
176,,,,,,,,,,,,0.04196111111111111,0.06817953927068882
177,6.0,6.0,3.0,0.0092,64.0,5.0,37.0,4.0,SAFE,post,1.0,0.04196111111111111,0.06817953927068882
178,7.0,7.0,3.0,0.0,64.0,5.0,43.0,5.0,THREAT,None,1.0,0.04196111111111111,0.06817953927068882
179,8.0,8.0,3.0,0.0,64.0,5.0,49.0,6.0,THREAT,None,1.0,0.04196111111111111,0.06817953927068882
180,9.0,9.0,3.0,0.0,64.0,5.0,55.0,7.0,SAFE,None,1.0,0.03534444444444444,0.05896247283327234
181,10.0,10.0,3.0,0.0295,64.0,5.0,61.0,8.0,SAFE,None,1.0,0.03534444444444444,0.05896247283327234
182,11.0,11.0,3.0,0.0,64.0,5.0,67.0,9.0,SAFE,None,1.0,0.03534444444444444,0.05896247283327234
183,12.0,12.0,3.0,0.0183,64.0,5.0,73.0,10.0,THREAT,None,1.0,0.03534444444444444,0.05896247283327234
184,13.0,13.0,3.0,0.0,64.0,5.0,79.0,11.0,THREAT,None,1.0,0.03534444444444444,0.05896247283327234
185,14.0,14.0,3.0,0.0,64.0,5.0,85.0,12.0,SAFE,None,1.0,0.03534444444444444,0.05896247283327234
186,15.0,15.0,3.0,0.0427,64.0,5.0,91.0,13.0,THREAT,None,1.0,0.03534444444444444,0.05896247283327234
187,16.0,16.0,3.0,0.0209,64.0,5.0,97.0,14.0,THREAT,None,1.0,0.03534444444444444,0.05896247283327234
188,17.0,17.0,3.0,0.0371,64.0,5.0,103.0,15.0,SAFE,None,1.0,0.03534444444444444,0.05896247283327234
189,18.0,18.0,3.0,0.2731,64.0,5.0,109.0,16.0,THREAT,None,1.0,0.03534444444444444,0.05896247283327234
190,0.0,0.0,3.0,0.0331,66.0,1.0,1.0,0.0,SAFE,None,1.0,0.03534444444444444,0.05896247283327234
191,1.0,1.0,3.0,0.0834,66.0,1.0,7.0,1.0,THREAT,None,1.0,0.03534444444444444,0.05896247283327234
192,2.0,2.0,3.0,0.0,66.0,1.0,13.0,2.0,SAFE,None,1.0,0.03534444444444444,0.05896247283327234
193,3.0,3.0,3.0,0.0188,66.0,1.0,19.0,3.0,THREAT,None,1.0,0.03534444444444444,0.05896247283327234
194,4.0,4.0,3.0,0.0,66.0,1.0,25.0,4.0,THREAT,None,1.0,0.03534444444444444,0.05896247283327234
195,5.0,5.0,3.0,0.0,66.0,1.0,31.0,5.0,THREAT,None,1.0,0.03534444444444444,0.05896247283327234
196,6.0,6.0,3.0,0.0,66.0,1.0,37.0,6.0,THREAT,None,1.0,0.03534444444444444,0.05896247283327234
197,7.0,7.0,3.0,0.0,66.0,1.0,43.0,7.0,SAFE,None,1.0,0.03534444444444444,0.05896247283327234
198,8.0,8.0,3.0,0.0127,66.0,1.0,49.0,8.0,SAFE,None,1.0,0.1043277777777778,0.16590338366777907
199,9.0,9.0,3.0,0.0193,66.0,1.0,55.0,9.0,SAFE,None,1.0,0.1043277777777778,0.16590338366777907
200,10.0,10.0,3.0,0.1282,66.0,1.0,61.0,10.0,SAFE,None,1.0,0.1043277777777778,0.16590338366777907
201,11.0,11.0,3.0,0.0,66.0,1.0,67.0,11.0,SAFE,None,1.0,0.1043277777777778,0.16590338366777907
202,12.0,12.0,3.0,0.1139,66.0,1.0,73.0,12.0,THREAT,None,1.0,0.1043277777777778,0.16590338366777907
203,13.0,13.0,3.0,0.0,66.0,1.0,79.0,13.0,THREAT,prior,1.0,0.1043277777777778,0.16590338366777907
204,,,,,,,,,,,,0.1043277777777778,0.16590338366777907
205,15.0,15.0,3.0,0.0198,66.0,1.0,91.0,13.0,THREAT,post,1.0,0.1043277777777778,0.16590338366777907
206,16.0,16.0,3.0,0.0,66.0,1.0,97.0,14.0,SAFE,None,1.0,0.1043277777777778,0.16590338366777907
207,17.0,17.0,3.0,0.0,66.0,1.0,103.0,15.0,THREAT,None,1.0,0.1043277777777778,0.16590338366777907
208,18.0,18.0,3.0,0.207,66.0,1.0,109.0,16.0,SAFE,None,1.0,0.1043277777777778,0.16590338366777907
209,0.0,0.0,3.0,0.1841,66.0,2.0,1.0,0.0,SAFE,None,1.0,0.1043277777777778,0.16590338366777907
