,index,time,GSR,shock,stims,contexts,trls_rec
41615,47644,3.97,-0.1617,0,0,7.0,3815.0
41616,47645,3.97,-0.1617,0,0,7.0,3816.0
41617,47646,3.97,-0.1648,0,0,7.0,3817.0
41618,47647,3.971,-0.1633,0,0,7.0,3818.0
41619,47648,3.971,-0.1633,0,0,7.0,3819.0
41620,47649,3.971,-0.1633,0,0,7.0,3820.0
41621,47650,3.971,-0.1602,0,0,7.0,3821.0
41622,47651,3.971,-0.1633,0,0,7.0,3822.0
41623,47652,3.971,-0.1648,0,0,7.0,3823.0
41624,47653,3.971,-0.1617,0,0,7.0,3824.0
41625,47654,3.971,-0.1633,0,0,7.0,3825.0
41626,47655,3.971,-0.1617,0,0,7.0,3826.0
41627,47656,3.971,-0.1617,0,0,7.0,3827.0
41628,47657,3.971,-0.1633,0,0,7.0,3828.0
41629,47658,3.971,-0.1617,0,0,7.0,3829.0
41630,47659,3.972,-0.1648,0,0,7.0,3830.0
41631,47660,3.972,-0.1633,0,0,7.0,3831.0
41632,47661,3.972,-0.1602,0,0,7.0,3832.0
41633,47662,3.972,-0.1572,0,0,7.0,3833.0
41634,47663,3.972,-0.1633,0,0,7.0,3834.0
41635,47664,3.972,-0.1633,0,0,7.0,3835.0
41636,47665,3.972,-0.1617,0,0,7.0,3836.0
41637,47666,3.972,-0.1633,0,0,7.0,3837.0
41638,47667,3.972,-0.1587,0,0,7.0,3838.0
41639,47668,3.972,-0.1602,0,0,7.0,3839.0
41640,47669,3.972,-0.1617,0,0,7.0,3840.0
41641,47670,3.9730000000000003,-0.1617,0,0,7.0,3841.0
41642,47671,3.9730000000000003,-0.1587,0,0,7.0,3842.0
41643,47672,3.9730000000000003,-0.1602,0,0,7.0,3843.0
41644,47673,3.9730000000000003,-0.1617,0,0,7.0,3844.0
41645,47674,3.9730000000000003,-0.1633,0,0,7.0,3845.0
41646,47675,3.9730000000000003,-0.1617,0,0,7.0,3846.0
41647,47676,3.9730000000000003,-0.1602,0,0,7.0,3847.0
41648,47677,3.9730000000000003,-0.1602,0,0,7.0,3848.0
41649,47678,3.9730000000000003,-0.1602,0,0,7.0,3849.0
41650,47679,3.9730000000000003,-0.1633,0,0,7.0,3850.0
41651,47680,3.9730000000000003,-0.1633,0,0,7.0,3851.0
41652,47681,3.9730000000000003,-0.1648,0,0,7.0,3852.0
