,Unnamed: 0,cntxt_num,count,mean,pt,r_num,index,context_num,context_type,context_shock,cntxt_trialnum
310,6,6,3,0.0,67,2,37,6.0,SAFE,None,1.0
311,7,7,3,0.0305,67,2,43,7.0,THREAT,prior,1.0
313,9,9,3,0.0,67,2,55,7.0,THREAT,post,1.0
314,10,10,3,0.0209,67,2,61,8.0,SAFE,None,1.0
315,11,11,3,0.1073,67,2,67,9.0,SAFE,None,1.0
316,12,12,3,0.0,67,2,73,10.0,SAFE,None,1.0
317,13,13,3,0.0346,67,2,79,11.0,SAFE,None,1.0
318,14,14,3,0.0,67,2,85,12.0,SAFE,None,1.0
319,15,15,3,0.1282,67,2,91,13.0,THREAT,None,1.0
320,16,16,3,0.0351,67,2,97,14.0,THREAT,None,1.0
321,17,17,3,0.0148,67,2,103,15.0,THREAT,None,1.0
322,18,18,3,0.0717,67,2,109,16.0,SAFE,None,1.0
323,0,0,3,0.0188,67,3,1,0.0,SAFE,None,1.0
324,1,1,3,0.0,67,3,7,1.0,SAFE,None,1.0
325,2,2,3,0.0,67,3,13,2.0,SAFE,None,1.0
326,3,3,3,0.0,67,3,19,3.0,SAFE,None,1.0
327,4,4,3,0.0,67,3,25,4.0,SAFE,None,1.0
328,5,5,3,0.0,67,3,31,5.0,THREAT,None,1.0
329,6,6,3,0.0,67,3,37,6.0,THREAT,None,1.0
330,7,7,3,0.0,67,3,43,7.0,THREAT,prior,1.0
332,9,9,3,0.0,67,3,55,7.0,THREAT,post,1.0
333,10,10,3,0.0,67,3,61,8.0,THREAT,None,1.0
334,11,11,3,0.0,67,3,67,9.0,THREAT,None,1.0
335,12,12,3,0.0076,67,3,73,10.0,SAFE,None,1.0
336,13,13,3,0.0,67,3,79,11.0,THREAT,None,1.0
337,14,14,3,0.0,67,3,85,12.0,SAFE,None,1.0
338,15,15,3,0.0,67,3,91,13.0,THREAT,None,1.0
339,16,16,3,0.0,67,3,97,14.0,SAFE,None,1.0
340,17,17,3,0.0,67,3,103,15.0,THREAT,None,1.0
341,18,18,3,0.1017,67,3,109,16.0,SAFE,None,1.0
342,0,0,3,0.0473,67,4,1,0.0,THREAT,None,1.0
343,1,1,3,0.0529,67,4,7,1.0,THREAT,None,1.0
344,2,2,3,0.1124,67,4,13,2.0,SAFE,None,1.0
